TEAM_ID,TEAM_NAME,GAME_DATE,MATCHUP,PTS,FGM,FGA,FG_PCT
1611661322,Washington Mystics,2026-05-10T00:00:00,WAS vs. NYL,93,34,80,0.425
1611661323,Connecticut Sun,2026-05-10T00:00:00,CON vs. SEA,82,29,73,0.397
1611661317,Phoenix Mercury,2026-05-10T00:00:00,PHX @ GSV,79,26,54,0.481
1611661320,Los Angeles Sparks,2026-05-10T00:00:00,LAS vs. LVA,78,29,78,0.372
1611661317,Phoenix Mercury,2026-05-09T00:00:00,PHX @ LVA,99,38,77,0.494
1611661329,Chicago Sky,2026-05-09T00:00:00,CHI @ PDX,98,33,69,0.478
1611661321,Dallas Wings,2026-05-09T00:00:00,DAL @ IND,107,39,66,0.591
1611661330,Atlanta Dream,2026-05-09T00:00:00,ATL @ MIN,91,31,73,0.425
1611661324,Minnesota Lynx,2026-05-09T00:00:00,MIN vs. ATL,90,35,70,0.5
1611661325,Indiana Fever,2026-05-09T00:00:00,IND vs. DAL,104,40,77,0.519
1611661327,Portland Fire,2026-05-09T00:00:00,PDX vs. CHI,83,29,71,0.408
1611661319,Las Vegas Aces,2026-05-09T00:00:00,LVA vs. PHX,66,29,71,0.408
1611661313,New York Liberty,2026-05-08T00:00:00,NYL vs. CON,106,35,67,0.522
1611661331,Golden State Valkyries,2026-05-08T00:00:00,GSV @ SEA,91,31,74,0.419
1611661322,Washington Mystics,2026-05-08T00:00:00,WAS @ TOR,68,25,64,0.391
1611661332,Toronto Tempo,2026-05-08T00:00:00,TOR vs. WAS,65,17,63,0.27
1611661328,Seattle Storm,2026-05-08T00:00:00,SEA vs. GSV,80,26,63,0.413
1611661323,Connecticut Sun,2026-05-08T00:00:00,CON @ NYL,75,32,83,0.386
