PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT
1630097,Kaila Charles,1611661331,GSV,35,616.3266666666667,223,149,35,0.175
1642822,Kaitlyn Chen,1611661331,GSV,24,246.765,48,22,24,0.12
1629480,Kalani Brown,1611661317,PHX,29,370.365,148,117,16,0.154
1630154,Kamiah Smalls,1611661330,ATL,3,3.4,0,0,0,0.0
1642289,Kamilla Cardoso,1611661329,CHI,40,1102.33,543,341,98,0.225
1642773,Kariata Diaby,1611661323,CON,13,103.45833333333333,25,13,5,0.133
1628317,Karlie Samuelson,1611661324,MIN,16,227.76166666666666,53,20,17,0.115
1642324,Kate Martin,1611661331,GSV,42,686.8583333333333,261,112,40,0.202
1628957,Kathryn Westbeld,1611661317,PHX,43,792.0216666666666,221,109,39,0.137
203825,Kayla McBride,1611661324,MIN,39,1219.46,554,89,137,0.197
203866,Kayla Thornton,1611661331,GSV,22,662.435,308,154,33,0.227
1628909,Kelsey Mitchell,1611661325,IND,44,1380.855,890,77,150,0.264
1628276,Kelsey Plum,1611661320,LAS,43,1508.045,839,132,247,0.246
1629568,Kennedy Burke,1611661313,NYL,36,779.37,291,85,45,0.155
1628915,Kia Nurse,1611661329,CHI,44,962.0733333333334,316,103,55,0.165
204329,Kiah Stokes,1611661319,LVA,40,514.2533333333333,44,144,17,0.06
1630461,Kiana Williams,1611661317,PHX,11,106.595,45,11,10,0.198
1631006,Kierstan Bell,1611661319,LVA,35,426.76,146,62,23,0.183
1642792,Kiki Iriafen,1611661322,WAS,44,1185.3683333333333,584,376,69,0.231
1629490,Kitija Laksa,1611661317,PHX,33,626.17,196,40,21,0.144
1642768,Kyara Linskens,1611661331,GSV,4,26.783333333333335,4,6,1,0.106
1643154,Kyra Lambert,1611661325,IND,1,0.07666666666666666,0,0,0,0.0
1641656,Laeticia Amihere,1611661331,GSV,29,384.48833333333334,156,125,27,0.197
1642303,Leila Lacan,1611661323,CON,25,665.0466666666666,259,59,92,0.185
1630142,Leonie Fiebich,1611661313,NYL,37,1040.6633333333334,321,131,64,0.127
1631118,Lexi Held,1611661317,PHX,32,470.5366666666667,170,34,35,0.182
1628882,Lexie Brown,1611661328,SEA,24,226.53166666666667,51,17,23,0.114
1631086,Lexie Hull,1611661325,IND,44,1189.0383333333334,317,190,79,0.129
1629574,Li Yueru,1611661321,DAL,31,519.5183333333333,187,141,29,0.167
1642820,Liatu King,1611661321,DAL,14,135.93166666666667,38,29,4,0.133
1628263,Lindsay Allen,1611661323,CON,31,450.25333333333333,74,32,61,0.105
1642802,Lucy Olsen,1611661322,WAS,41,507.79833333333335,165,48,49,0.157
1630143,Luisa Geiselsoder,1611661321,DAL,28,627.8933333333333,192,133,44,0.144
1642307,Mackenzie Holmes,1611661328,SEA,10,58.33166666666666,10,9,2,0.056
1641652,Maddy Siegrist,1611661321,DAL,26,701.9333333333333,330,111,21,0.184
1642818,Maddy Westbeld,1611661329,CHI,26,354.29333333333335,107,62,23,0.165
1642810,Madison Scott,1611661322,WAS,9,46.81666666666667,14,1,2,0.126
1642815,Makayla Timpson,1611661325,IND,31,218.72666666666666,82,57,1,0.155
1642841,Mamignan Toure,1611661323,CON,18,147.42333333333335,36,7,9,0.135
1628926,Maria Kliundikova,1611661324,MIN,34,372.595,148,102,19,0.183
1629497,Marina Mabrey,1611661323,CON,35,1103.13,504,146,141,0.248
1629546,Marine Johannes,1611661313,NYL,44,803.2216666666667,281,84,70,0.17
1642763,Marième Badiane,1611661324,MIN,3,10.735,0,1,0,0.185
1642301,Marquesha Davis,1611661329,CHI,11,51.89,10,7,1,0.16
1630471,Maya Caldwell,1611661330,ATL,41,760.4,221,127,74,0.14
1629484,Megan Gustafson,1611661319,LVA,20,225.60833333333332,60,36,5,0.131
1642799,Megan McConnell,1611661317,PHX,1,12.635,3,1,3,0.129
1628920,Mercedes Russell,1611661320,LAS,20,163.34666666666666,34,24,12,0.108
1630446,Michaela Onyenwere,1611661329,CHI,42,710.695,245,69,48,0.176
1642777,Monique Akoa Makani,1611661317,PHX,41,880.645,315,91,111,0.167
1628881,Monique Billings,1611661331,GSV,26,474.3233333333333,190,116,14,0.179
1627669,Moriah Jefferson,1611661329,CHI,5,35.25,7,5,9,0.125
1642774,Murjanatu Musa,1611661317,PHX,12,121.77,40,31,7,0.164
1628899,Myisha Hines-Allen,1611661321,DAL,40,882.15,302,240,116,0.179
1631019,NaLyssa Smith,1611661319,LVA,45,956.125,342,231,33,0.168
1629483,Napheesa Collier,1611661324,MIN,33,1064.5516666666667,755,241,105,0.278
204333,Natasha Cloud,1611661313,NYL,41,1190.6866666666667,414,151,211,0.171
203827,Natasha Howard,1611661325,IND,44,1060.3366666666666,500,290,66,0.208
1630442,Natasha Mack,1611661317,PHX,34,622.7083333333334,159,197,30,0.108
1629567,Natisha Hiedeman,1611661324,MIN,44,832.52,399,82,123,0.201
1631044,Naz Hillmon,1611661330,ATL,44,1121.61,380,271,105,0.148
1628269,Nia Coffey,1611661330,ATL,44,454.97333333333336,170,114,46,0.19
203014,Nneka Ogwumike,1611661328,SEA,44,1358.555,803,309,99,0.245
1631055,Nyara Sabally,1611661313,NYL,17,304.68833333333333,92,77,13,0.147
203824,Odyssey Sims,1611661325,IND,24,670.7866666666666,242,57,90,0.178
1631135,Olivia Nelson-Ododa,1611661323,CON,37,799.9783333333334,305,184,34,0.169
1642784,Paige Bueckers,1611661321,DAL,36,1199.0,692,142,194,0.241
1627671,Rachel Banham,1611661329,CHI,44,1080.9283333333333,396,74,119,0.174
1630996,Rae Burrell,1611661320,LAS,28,514.8966666666666,211,65,34,0.179
1642796,Rayah Marshall,1611661323,CON,15,90.115,25,26,4,0.171
204296,Rebecca Allen,1611661329,CHI,44,821.0366666666666,225,113,57,0.151
203822,Rebekah Gardner,1611661313,NYL,41,502.0883333333333,152,74,25,0.128
1631009,Rhyne Howard,1611661330,ATL,33,1151.155,577,148,153,0.229
1642288,Rickea Jackson,1611661320,LAS,38,1172.6933333333334,558,122,64,0.221
1641641,Robyn Parks,1611661323,CON,6,62.861666666666665,2,9,2,0.039
1629477,Sabrina Ionescu,1611661313,NYL,38,1193.4983333333332,693,185,216,0.273
1628244,Sami Whitcomb,1611661317,PHX,43,1026.9166666666667,390,113,108,0.175
1642790,Sania Feagin,1611661320,LAS,16,76.80166666666666,20,11,4,0.198
1642809,Saniya Rivers,1611661323,CON,42,1096.8683333333333,371,118,113,0.173
1642782,Sarah Ashlee Barker,1611661320,LAS,34,481.06333333333333,105,66,31,0.136
1630149,Satou Sabally,1611661317,PHX,39,1038.5316666666668,636,231,98,0.276
1642813,Serena Sundell,1611661321,DAL,3,21.66,0,1,0,0.056
1642244,Sevgi Uzun,1611661329,CHI,25,439.69666666666666,78,31,63,0.147
1631022,Shakira Austin,1611661322,WAS,38,874.0383333333333,481,242,68,0.283
1628278,Shatori Walker-Kimbrough,1611661330,ATL,41,353.89666666666665,71,37,22,0.101
203035,Shey Peddy,1611661325,IND,15,264.62,77,25,31,0.115
1631021,Sika Kone,1611661330,ATL,19,85.395,27,19,6,0.16
203400,Skylar Diggins,1611661328,SEA,43,1342.8133333333333,667,108,258,0.235
1642785,Sonia Citron,1611661322,WAS,44,1414.5983333333334,657,174,104,0.195
1629482,Sophie Cunningham,1611661325,IND,30,756.3333333333334,257,105,36,0.128
203828,Stefanie Dolson,1611661322,WAS,43,653.07,161,97,59,0.122
203855,Stephanie Talbot,1611661313,NYL,38,540.505,112,101,66,0.124
1630134,Sug Sutton,1611661322,WAS,43,1122.1566666666668,317,77,166,0.152
202641,Sydney Colson,1611661325,IND,30,403.75333333333333,71,25,60,0.119
1642814,Taylor Thierry,1611661330,ATL,17,36.06,6,6,2,0.163
1642804,Te-Hina Paopao,1611661330,ATL,43,719.9616666666667,250,69,105,0.163
1629479,Teaira McCowan,1611661321,DAL,17,218.92666666666668,95,78,10,0.171
1627701,Temi Fagbenle,1611661331,GSV,39,925.1533333333333,288,190,61,0.156
203026,Tiffany Hayes,1611661331,GSV,26,699.74,303,100,77,0.208
1627676,Tiffany Mitchell,1611661328,SEA,39,509.66333333333336,126,42,12,0.127
202250,Tina Charles,1611661323,CON,43,1222.285,700,248,74,0.274
1630112,Tyasha Harris,1611661321,DAL,5,82.43333333333334,23,5,13,0.111
1631007,Veronica Burton,1611661331,GSV,44,1292.4166666666667,525,192,265,0.194
1628304,Yvonne Anderson,1611661324,MIN,1,12.35,0,1,2,0.094
1641660,Zia Cooke,1611661328,SEA,26,260.895,90,14,14,0.192
