PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,PPM,IMPACT_SCORE,TEAM_NAME,PACE,PTS_PER100,REB_PER100,AST_PER100,LOGS_MEAN,LOGS_STD,LOGS_SAMPLE_SIZE,CV,MODEL_ASSIGNMENT
1642291,Angel Reese,1611661329,CHI,30,946.9716666666668,440,377,110,0.233,0.4646390335508101,215.991,Chicago Sky,93.75,469.3333333333333,402.1333333333334,117.33333333333331,14.428571428571429,3.154739442867026,7,0.218645307921477,Poisson
1642286,Caitlin Clark,1611661325,IND,13,403.6433333333333,214,65,115,0.287,0.5301710255753842,113.078,Indiana Fever,95.71,223.592101138857,67.91348866367152,120.15463378957269,24.714285714285715,4.1518785191880605,7,0.1679950845914244,Poisson
1628909,Kelsey Mitchell,1611661325,IND,44,1380.855,890,77,150,0.264,0.6445282089719775,294.88800000000003,Indiana Fever,95.71,929.8923832410408,80.4513634938878,156.72343537770348,24.857142857142858,4.561745697594707,7,0.1835185050756491,Poisson
1642303,Leila Lacan,1611661323,CON,25,665.0466666666666,259,59,92,0.185,0.3894463546417795,75.85,Connecticut Sun,94.57,273.8712065136936,62.387649360262245,97.28243629057842,13.285714285714286,2.690370836538197,7,0.2025010307071761,Poisson
1629567,Natisha Hiedeman,1611661324,MIN,44,832.52,399,82,123,0.201,0.4792677653389708,121.404,Minnesota Lynx,94.06,424.19732085902615,87.1783967680204,130.76759515203062,16.428571428571427,3.909694909544003,7,0.2379814292765915,Poisson
1631135,Olivia Nelson-Ododa,1611661323,CON,37,799.9783333333334,305,184,34,0.169,0.3812603258004904,88.387,Connecticut Sun,94.57,322.51242465898275,194.56487258115683,35.95220471608332,10.571428571428571,2.63673679998231,7,0.2494210486469752,Poisson
1642784,Paige Bueckers,1611661321,DAL,36,1199.0,692,142,194,0.241,0.5771476230191827,247.748,Dallas Wings,96.34,718.289391737596,147.39464396927548,201.370147394644,22.571428571428573,4.237025012007949,7,0.1877162980003521,Poisson
1642790,Sania Feagin,1611661320,LAS,16,76.80166666666666,20,11,4,0.198,0.2604110153859508,6.930000000000001,Los Angeles Sparks,96.84,20.652622883106154,11.358942585708384,4.13052457662123,0.0,0.0,3,0.0,Poisson
1628278,Shatori Walker-Kimbrough,1611661330,ATL,41,353.89666666666665,71,37,22,0.101,0.2006235341766429,13.13,Atlanta Dream,93.08,76.27847013321873,39.75075204125484,23.635582294800173,0.0,0.0,2,0.0,Poisson
1642814,Taylor Thierry,1611661330,ATL,17,36.06,6,6,2,0.163,0.1663893510815307,2.282,Atlanta Dream,93.08,6.446067898581866,6.446067898581866,2.1486892995272884,0.0,0.0,7,0.0,Poisson
